resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
it all starts to smack of a hallmark hall of fame with a few four letter words thrown in that are generally not heard on television,writer-director walter hill and co-writer david giler try to create characters out of the obvious cliches but wind up using them as punching bags,0
just when the movie seems confident enough to handle subtlety it dives into soapy bathos,just when the movie seems confident enough to handle subtlety it dives into soapy bathos,1
many shallower movies these days seem too long but this one is egregiously short,sadly hewitt's forte is leaning forward while wearing low-cut gowns not making snappy comebacks,0
the code talkers deserved better than a hollow tribute,summer's far too fleeting to squander on offal like this,0
the film's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency it's just filler,the film's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency it's just filler,1
a loud brash and mainly unfunny high school comedy,a loud brash and mainly unfunny high school comedy,1
stephen earnhart's documentary is a decomposition of healthy eccentric inspiration and ambition – wearing a cloak of unsentimental straightforward text – when it's really an exercise in gross romanticization of the delusional personality type,a baffling subplot involving smuggling drugs inside danish cows falls flat and if you're going to alter the bard's ending you'd better have a good alternative,0
holden caulfield did it better,the screenplay is hugely overwritten with tons and tons of dialogue -- most of it given to children,0
morrissette's script and direction show a fair amount of intelligence and wit -- but it doesn't signify a whole lot either,morrissette's script and direction show a fair amount of intelligence and wit -- but it doesn't signify a whole lot either,1
if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over,boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome,0
